marital_status,course,attend_time,previous_qualification,nationality,mother_qualification,father_qualification,mother_occupation,father_occupation,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,first_semester_credited,first_semester_enrolled,first_semester_grade,second_semester_credited,second_semester_enrolled,second_semester_grade,target,unemployment_rate,inflation_rate
3,2,0,4,2,5,4,1,4,0,0,1,1,0,20,False,0,0,0.0,0,0,0.0,1,10.8,1.4
3,13,0,4,2,4,0,2,2,0,0,0,1,0,19,False,0,6,14.0,0,6,13.66666667,0,13.9,-0.3
3,4,0,4,2,4,1,4,4,0,0,0,1,0,19,False,0,6,0.0,0,6,0.0,1,10.8,1.4
3,8,0,4,2,4,1,1,2,0,0,1,0,0,20,False,0,6,13.42857143,0,6,12.4,0,9.4,-0.8
2,12,1,4,2,4,1,4,4,0,0,1,0,0,45,False,0,6,12.33333333,0,6,13.0,0,13.9,-0.3
2,9,1,4,2,4,1,4,2,0,1,1,1,0,50,False,0,5,11.85714286,0,5,11.5,0,16.2,0.3
3,10,0,4,2,5,1,2,2,0,0,1,0,1,18,False,0,7,13.3,0,8,14.345,0,15.5,2.8
3,13,0,4,2,4,1,4,4,0,0,0,1,0,22,False,0,5,0.0,0,5,0.0,1,15.5,2.8
3,12,0,4,2,4,4,4,4,0,0,1,0,1,21,True,0,6,13.875,0,6,14.14285714,0,16.2,0.3
3,12,0,4,2,4,4,2,2,0,1,0,0,0,18,False,0,6,11.4,0,6,13.5,1,8.9,1.4
3,0,0,4,2,4,4,1,2,0,0,1,0,0,18,False,0,6,12.33333333,0,6,14.2,0,13.9,-0.3
3,10,0,4,2,5,1,4,4,0,0,1,0,1,18,False,0,8,13.21428571,0,8,13.21428571,0,12.7,3.7
3,5,0,4,2,5,1,2,4,0,0,1,0,0,19,False,0,6,0.0,0,6,0.0,1,12.7,3.7
3,13,0,3,2,4,4,2,2,0,0,1,0,1,21,False,0,6,10.57142857,0,6,11.0,0,8.9,1.4
3,14,0,4,2,4,1,1,1,0,0,1,0,1,18,False,0,5,13.25,0,5,12.0,0,10.8,1.4
3,8,0,4,2,5,1,4,2,0,0,1,0,0,20,False,0,6,13.2,0,6,0.0,1,15.5,2.8
3,10,0,4,2,5,4,1,2,0,0,1,0,0,18,False,0,7,13.30625,0,8,14.545,0,15.5,2.8
3,7,0,4,2,0,4,2,1,0,0,1,0,0,20,False,0,5,12.5,0,5,12.25,0,10.8,1.4
3,2,0,4,2,4,4,4,4,0,0,1,0,1,21,False,0,0,0.0,0,0,0.0,0,11.1,0.6
3,10,0,4,2,5,4,2,2,0,0,1,0,0,18,False,0,8,12.85714286,0,8,12.85714286,0,12.7,3.7
3,0,0,4,2,4,1,2,2,0,0,1,0,1,19,False,0,6,13.375,0,6,12.28571429,0,11.1,0.6
3,10,0,4,2,5,4,2,2,0,0,1,0,0,19,False,0,7,13.29666667,0,8,14.11428571,0,11.1,0.6
3,12,0,4,2,5,1,2,4,0,0,1,0,0,21,False,0,6,11.375,0,6,13.28571429,0,16.2,0.3
3,9,0,4,2,5,4,4,4,0,0,1,0,0,20,False,0,5,12.0,0,5,12.33333333,0,16.2,0.3
3,4,0,4,2,1,0,2,2,0,0,1,1,0,20,False,2,6,12.83333333,0,6,13.4,0,8.9,1.4
3,12,1,4,2,5,4,4,1,0,0,1,0,0,19,False,0,6,12.66666667,0,6,14.375,0,12.4,0.5
3,9,1,4,2,0,1,2,4,0,0,1,1,0,34,False,0,5,12.4,0,5,13.42857143,0,13.9,-0.3
3,3,0,4,2,4,1,4,1,0,1,0,1,0,37,False,0,7,0.0,0,7,10.0,1,8.9,1.4
3,6,0,4,2,0,1,3,3,0,0,1,1,0,43,False,0,5,0.0,0,5,0.0,1,7.6,2.6
3,9,0,4,2,4,1,1,1,0,0,1,0,0,55,False,0,5,10.0,0,5,12.0,1,16.2,0.3
0,9,1,4,2,5,4,4,2,0,0,1,0,0,39,False,0,5,11.0,0,5,11.6,0,7.6,2.6
3,7,0,3,2,0,0,2,1,0,1,0,0,0,20,True,2,6,11.66666667,1,6,12.0,1,12.4,0.5
3,8,0,4,2,0,0,3,3,0,1,1,0,0,18,False,0,6,12.75,0,5,0.0,1,12.7,3.7
3,9,0,4,2,0,4,3,2,0,0,1,0,0,22,False,0,5,14.8,0,5,15.8,0,8.9,1.4
3,10,0,4,2,4,0,3,3,1,0,1,0,0,22,False,0,7,13.928,0,8,14.34285714,0,11.1,0.6
3,8,0,4,2,4,1,1,1,0,0,0,0,0,20,False,0,6,13.0,0,6,13.8,1,12.4,0.5
3,9,1,4,2,4,1,4,4,0,0,1,0,0,29,False,0,5,0.0,0,5,0.0,1,16.2,0.3
3,12,0,4,2,5,4,4,4,0,0,1,0,0,18,False,0,6,11.66666667,0,6,13.2,0,11.1,0.6
3,10,0,4,2,4,4,2,2,0,0,1,0,1,22,False,0,7,13.51666667,0,8,13.77142857,0,11.1,0.6
3,12,1,3,2,4,4,4,4,0,0,1,0,1,21,False,3,6,11.5,2,6,13.28571429,0,12.4,0.5
3,12,0,4,2,4,1,4,4,0,0,1,0,1,19,False,0,6,12.33333333,0,6,12.83333333,0,12.7,3.7
3,13,0,4,2,5,1,4,2,0,0,1,0,1,24,False,0,6,13.66666667,0,6,14.16666667,0,12.4,0.5
3,7,0,4,2,4,1,0,0,0,0,1,0,0,19,False,0,5,14.71428571,0,5,15.8,0,7.6,2.6
3,9,1,4,2,4,1,4,4,0,0,1,0,0,27,False,0,5,10.6,0,5,11.0,1,9.4,-0.8
3,10,0,4,2,4,4,1,1,0,0,1,0,0,18,False,0,7,13.04444444,0,8,13.595,0,15.5,2.8
2,13,0,0,2,4,0,2,2,0,0,1,0,0,39,False,0,6,0.0,0,6,0.0,1,12.4,0.5
3,7,0,0,2,0,0,3,3,0,0,1,0,0,27,False,0,6,13.0,5,11,12.9,1,12.4,0.5
3,10,0,4,2,4,1,2,2,0,0,1,0,0,18,False,0,8,14.935,0,8,14.935,0,9.4,-0.8
3,10,0,4,2,5,4,4,4,0,0,1,0,0,18,False,0,7,13.13333333,0,8,12.22142857,0,16.2,0.3
3,12,0,3,2,5,4,4,4,0,0,1,0,1,21,False,3,6,12.0,2,6,12.0,0,13.9,-0.3
0,10,0,4,2,4,4,1,1,0,0,1,1,0,29,False,2,7,11.9,1,8,11.0,1,13.9,-0.3
3,2,0,4,2,5,4,1,2,0,0,1,1,1,19,False,0,0,0.0,0,0,0.0,0,10.8,1.4
3,1,0,3,2,5,1,4,4,0,0,1,1,0,23,False,0,6,12.57142857,0,6,12.42857143,0,8.9,1.4
3,9,0,4,2,4,1,2,2,0,1,1,1,0,19,False,0,5,11.2,0,5,10.75,1,16.2,0.3
3,10,0,4,2,4,4,4,2,0,0,1,1,0,24,False,0,7,11.975,0,8,13.75,0,13.9,-0.3
3,2,0,4,2,5,4,1,2,0,0,1,1,0,19,False,0,0,0.0,0,0,0.0,1,15.5,2.8
3,13,0,4,2,4,1,1,2,0,0,1,1,0,18,False,0,6,11.66666667,0,6,12.0,1,12.4,0.5
3,8,0,4,2,4,1,4,4,0,0,1,1,0,18,False,0,6,12.33333333,0,6,12.33333333,0,10.8,1.4
3,9,0,4,2,5,4,2,2,0,1,1,1,0,18,False,0,5,10.33333333,0,5,10.85714286,1,10.8,1.4
3,13,0,4,2,5,1,2,2,0,0,1,1,1,21,False,0,6,10.5,0,6,11.0,1,9.4,-0.8
3,8,0,4,2,4,4,4,4,0,1,1,1,1,19,False,0,6,13.66666667,0,6,13.33333333,0,8.9,1.4
3,10,0,4,2,4,1,4,4,0,0,1,1,1,22,False,0,7,14.84285714,0,8,15.05555556,0,16.2,0.3
2,12,1,4,2,4,1,4,1,0,0,1,1,0,33,False,0,6,12.0,0,6,11.66666667,0,10.8,1.4
3,5,0,4,2,5,4,4,4,0,0,1,1,0,20,False,0,6,12.2,0,6,12.2,1,10.8,1.4
3,9,1,0,2,0,0,3,3,0,0,1,1,0,35,False,0,1,0.0,0,5,0.0,1,10.8,1.4
3,1,0,0,2,0,0,2,3,0,1,1,1,0,24,False,6,12,12.16666667,7,12,13.3,1,12.4,0.5
2,12,1,4,2,4,1,4,1,0,0,1,0,0,33,False,0,6,11.0,0,6,11.0,0,9.4,-0.8
3,10,0,4,2,4,1,4,2,0,0,1,0,1,22,False,0,8,13.08,0,8,13.08,0,10.8,1.4
3,0,0,4,2,4,4,2,1,0,0,1,0,1,25,False,0,5,10.5,0,5,11.6,0,9.4,-0.8
3,4,0,4,2,5,1,2,3,0,0,1,1,0,20,False,0,6,10.66666667,0,6,11.2,0,7.6,2.6
3,10,0,4,2,4,4,2,2,0,0,1,1,0,24,False,0,7,0.0,0,7,0.0,1,13.9,-0.3
3,8,0,4,3,5,4,4,4,0,0,0,0,0,21,True,0,6,14.0,0,6,13.5,0,8.9,1.4
3,7,0,4,3,4,4,2,2,0,0,1,0,0,26,True,0,6,12.0,0,6,0.0,1,8.9,1.4
2,5,0,4,2,4,3,3,3,0,0,1,0,0,39,False,0,6,12.66666667,0,6,0.0,1,7.6,2.6
2,12,1,4,2,4,4,4,4,0,0,1,0,0,44,False,2,8,11.875,0,6,12.33333333,0,12.7,3.7
3,8,0,4,2,4,4,1,1,0,0,1,0,0,18,False,0,6,13.66666667,0,6,13.33333333,0,8.9,1.4
3,10,0,4,2,4,1,2,2,0,0,1,0,1,18,False,0,7,13.75,0,8,14.47777778,0,12.4,0.5
3,10,0,4,2,0,0,3,3,0,1,0,0,0,19,False,0,7,11.96,0,7,0.0,1,13.9,-0.3
3,14,0,3,2,4,1,4,4,0,0,1,0,0,21,False,7,10,12.875,4,9,13.4,1,8.9,1.4
3,2,0,4,2,4,4,4,2,0,0,1,0,0,20,False,0,0,0.0,0,0,0.0,0,16.2,0.3
2,12,1,4,2,4,1,1,1,0,0,1,0,0,36,False,0,6,0.0,0,6,0.0,1,9.4,-0.8
0,1,0,4,2,4,1,4,1,0,0,1,0,0,43,False,13,18,14.63157895,10,13,14.23076923,0,15.5,2.8
3,5,0,4,2,5,4,4,2,0,0,1,0,0,19,False,0,6,0.0,0,6,0.0,1,11.1,0.6
3,4,0,4,2,0,4,3,4,0,1,1,0,0,20,False,4,10,13.0,5,11,12.27272727,0,11.1,0.6
3,12,0,4,2,4,1,2,2,0,0,1,0,0,19,False,0,6,0.0,0,6,0.0,1,16.2,0.3
3,14,0,4,2,4,4,2,2,0,0,1,0,0,20,False,0,6,14.2,0,6,13.25,1,15.5,2.8
3,10,0,4,2,0,0,2,2,0,0,1,0,0,20,False,2,7,13.26666667,0,7,12.3,1,12.4,0.5
3,12,0,4,2,4,1,1,2,0,0,1,0,0,18,False,0,6,13.85714286,0,6,15.0,0,13.9,-0.3
3,14,0,4,2,5,4,4,4,0,0,1,0,0,19,False,0,5,13.4,0,5,12.8,0,10.8,1.4
3,8,0,4,2,4,1,2,2,0,0,1,0,0,18,False,0,6,12.66666667,0,6,12.57142857,0,10.8,1.4
3,10,0,4,2,4,1,4,4,0,0,1,0,0,18,False,0,7,12.51666667,0,7,12.51666667,1,7.6,2.6
3,14,0,4,2,4,1,4,2,0,0,1,0,0,18,False,0,5,13.14285714,0,5,11.4,0,9.4,-0.8
3,9,0,4,2,0,4,2,1,0,0,1,0,0,18,False,0,5,12.6,0,5,14.0,0,11.1,0.6
3,13,0,4,2,4,4,2,1,0,0,1,0,0,21,False,0,6,11.0,0,6,11.0,1,9.4,-0.8
3,9,0,4,2,5,4,4,2,0,0,1,0,0,19,False,0,5,10.8,0,5,11.25,0,16.2,0.3
3,2,0,4,2,0,4,3,4,0,0,1,0,0,19,False,0,0,0.0,0,0,0.0,1,10.8,1.4
3,0,0,4,2,4,1,4,4,0,0,1,0,1,19,False,0,5,12.8,0,5,14.2,0,9.4,-0.8
3,14,0,4,2,5,1,2,2,0,0,1,0,0,19,False,0,6,14.16666667,0,6,12.2,0,15.5,2.8
3,11,0,4,2,4,4,2,1,0,0,1,0,0,19,False,0,7,12.1,0,7,0.0,1,13.9,-0.3
3,14,0,3,2,4,1,4,4,0,0,1,0,0,20,False,1,6,14.16666667,1,6,13.77777778,0,12.4,0.5
3,12,0,4,2,4,2,1,2,0,0,1,0,0,18,False,0,6,13.0,0,6,13.66666667,0,12.4,0.5
3,10,0,4,2,4,1,4,4,0,0,1,0,0,19,False,0,7,13.46714286,0,8,15.01111111,0,12.4,0.5
3,10,0,4,2,5,4,1,4,0,0,1,0,1,18,False,0,7,13.2375,0,8,13.74285714,1,13.9,-0.3
3,4,0,4,2,4,1,4,4,0,0,1,0,0,18,False,0,6,12.33333333,0,6,13.0,0,7.6,2.6
3,9,0,4,2,4,4,2,4,0,0,1,0,0,19,False,0,5,12.4,0,5,14.6,0,8.9,1.4
3,10,0,4,2,4,4,2,2,0,0,1,0,0,19,False,0,7,14.0,0,7,0.0,1,13.9,-0.3
3,12,0,4,2,4,1,4,2,0,0,1,0,0,20,False,5,9,11.66666667,2,7,11.71428571,0,7.6,2.6
3,0,0,4,2,4,1,2,4,0,1,0,0,1,19,False,0,6,12.0,0,6,12.5,1,12.4,0.5
3,0,0,4,2,5,4,1,1,0,0,1,0,0,20,False,0,5,12.2,0,5,11.5,0,7.6,2.6
3,8,0,4,2,4,4,2,4,0,1,1,0,1,18,False,0,6,14.83333333,0,6,14.83333333,0,8.9,1.4
3,10,0,4,2,5,4,2,4,0,0,1,0,0,18,False,0,7,17.125,0,8,17.5875,0,13.9,-0.3
3,10,0,4,2,4,1,4,4,0,0,1,0,0,19,False,0,7,12.66666667,0,7,12.66666667,0,7.6,2.6
3,8,0,4,2,5,4,2,2,0,0,1,0,1,19,False,0,6,12.66666667,0,6,12.0,0,12.4,0.5
3,12,0,4,2,4,4,4,2,0,0,1,0,1,19,False,0,6,11.33333333,0,6,11.5,0,12.4,0.5
3,10,0,4,2,5,4,4,2,0,0,1,0,1,19,False,0,7,13.605,0,8,12.33125,0,15.5,2.8
3,5,0,4,2,4,1,1,1,0,0,1,0,1,19,False,0,6,12.0,0,6,10.8,0,9.4,-0.8
3,13,0,4,2,4,4,4,4,0,0,1,0,0,19,False,0,5,0.0,0,5,0.0,1,7.6,2.6
3,13,0,4,2,4,1,4,2,0,0,1,0,0,20,False,0,6,11.2,0,6,11.66666667,1,7.6,2.6
3,9,0,4,2,0,4,3,2,0,0,1,0,0,18,False,0,5,13.375,0,5,14.16666667,0,13.9,-0.3
3,10,0,4,2,4,4,4,4,0,0,1,0,1,20,False,0,7,13.86333333,0,8,14.17857143,0,11.1,0.6
3,14,0,4,2,4,1,2,2,0,0,1,0,0,19,False,0,5,12.4,0,5,13.4,0,7.6,2.6
3,5,0,4,2,4,1,4,4,0,0,1,0,0,18,False,0,6,13.33333333,0,6,11.8,0,7.6,2.6
3,5,0,4,2,0,1,3,1,0,0,1,0,0,21,False,0,6,12.66666667,0,6,10.0,1,9.4,-0.8
3,5,0,4,2,4,1,1,1,0,0,1,0,0,19,False,0,6,12.0,0,6,11.5,1,7.6,2.6
3,9,0,4,2,4,1,4,4,0,0,1,0,1,18,False,0,5,10.6,0,5,11.8,0,12.4,0.5
3,12,0,4,2,4,1,2,4,0,0,1,0,1,18,False,0,6,12.25,0,6,11.85714286,0,12.7,3.7
3,12,0,4,2,5,4,4,2,0,0,1,0,0,20,False,0,6,11.0,0,6,11.83333333,0,9.4,-0.8
3,12,1,4,2,4,4,1,4,0,0,1,0,1,24,False,0,6,11.0,0,6,12.6,0,11.1,0.6
3,0,0,4,2,5,4,2,2,0,0,1,0,0,19,False,0,6,13.16666667,0,6,13.0,1,10.8,1.4
3,10,0,4,2,5,1,4,2,0,0,1,0,1,18,False,0,7,12.85555556,0,8,12.76111111,0,15.5,2.8
3,10,0,4,2,5,4,4,4,0,0,1,0,0,18,False,0,7,14.91875,0,8,15.355,0,15.5,2.8
3,5,0,4,2,4,4,2,2,0,0,1,0,0,21,False,0,6,11.5,0,6,11.0,1,10.8,1.4
3,0,0,4,2,4,4,1,2,0,0,1,0,0,19,False,0,5,14.2,0,5,14.2,0,7.6,2.6
3,8,0,4,2,5,1,2,2,0,0,1,0,1,19,False,0,6,12.5,0,6,13.0,0,15.5,2.8
3,12,0,4,2,5,4,2,4,0,0,1,0,0,19,False,0,6,11.66666667,0,6,11.0,0,13.9,-0.3
3,10,0,0,2,0,0,2,2,0,0,1,0,0,29,False,1,8,14.25714286,1,8,14.25714286,0,12.7,3.7
3,12,0,4,2,5,4,2,4,0,0,1,0,0,21,False,0,6,12.0,0,6,11.33333333,1,16.2,0.3
3,11,0,4,2,4,1,2,2,0,0,1,0,0,20,False,0,7,12.45714286,0,8,13.5625,0,15.5,2.8
3,10,0,4,2,0,1,2,1,0,0,1,0,0,19,False,0,7,11.68333333,0,7,11.68333333,0,7.6,2.6
3,12,1,4,2,5,0,2,1,0,0,1,0,0,26,False,0,6,11.66666667,0,6,12.0,0,9.4,-0.8
3,13,0,4,2,4,1,4,4,0,1,0,0,0,20,False,0,6,11.75,0,6,13.16666667,1,11.1,0.6
3,5,0,4,2,4,4,4,1,0,0,1,0,0,27,False,0,6,13.2,0,6,12.0,0,7.6,2.6
3,10,0,4,2,0,3,0,0,0,0,1,0,0,20,False,0,7,11.95,0,7,11.95,1,7.6,2.6
3,5,0,4,2,4,4,4,1,0,0,1,0,0,18,False,0,6,12.4,0,6,10.4,1,9.4,-0.8
3,10,0,0,2,4,4,4,1,0,0,1,0,0,33,False,2,7,14.35,3,8,14.58333333,1,16.2,0.3
